entry_id,text,reading,selection,floor_for,assigned_upos,assigned_frames,profile_count,readingSupport,heteronym,cedict,commonness,grammarEvidence,predicate,reading_verdict,role_verdict,notes
word:一般:ㄧ1-ㄅㄢ1,一般,ㄧ1 ㄅㄢ1,base,commonness|grammarEvidence,ADJ|ADV,avalent|intransitive|open-clausal-complement,2,moe-concised,single-reading,absent,tier-1,strong-10-plus,predicate,,,
word:了:ㄌㄜ5,了,ㄌㄜ5,floor,readingSupport,AUX|PART|VERB,avalent|intransitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:了:ㄌㄧㄠ3,了,ㄌㄧㄠ3,floor,readingSupport,AUX|PART|VERB,avalent|intransitive,3,manual-override,multi-reading,ambiguous-records,tier-1,strong-10-plus,predicate,,,
word:二千多:ㄦ4-ㄑㄧㄢ1-ㄉㄨㄛ1,二千多,ㄦ4 ㄑㄧㄢ1 ㄉㄨㄛ1,base,readingSupport,NUM,avalent,1,no-projection,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:人次:ㄖㄣ2-ㄘ4,人次,ㄖㄣ2 ㄘ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:十一:ㄕ2-ㄧ1,十一,ㄕ2 ㄧ1,floor,cedict,NUM,avalent,1,no-projection,single-reading,ambiguous-records,tier-2,moderate-3-9,non-predicate,,,
word:上手:ㄕㄤ4-ㄕㄡ3,上手,ㄕㄤ4 ㄕㄡ3,base,,VERB,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:下來:ㄒㄧㄚ4-ㄌㄞ2,下來,ㄒㄧㄚ4 ㄌㄞ2,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,VERB,intransitive,1,moe-concised,single-reading,absent,tier-1,strong-10-plus,predicate,,,
word:口感:ㄎㄡ3-ㄍㄢ3,口感,ㄎㄡ3 ㄍㄢ3,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN,avalent,1,moe-concised,single-reading,absent,tier-2,weak-1-2,non-predicate,,,
word:士:ㄕ4,士,ㄕ4,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,NOUN|PART,avalent,2,moe-concised,single-reading,absent,tier-3,moderate-3-9,non-predicate,,,
word:小澤:ㄒㄧㄠ3-ㄗㄜ2,小澤,ㄒㄧㄠ3 ㄗㄜ2,base,readingSupport|heteronym|cedict|commonness|grammarEvidence|predicate,PROPN,avalent,1,no-projection,single-reading,absent,tier-4,weak-1-2,non-predicate,,,
word:不大:ㄅㄨ4-ㄉㄚ4,不大,ㄅㄨ4 ㄉㄚ4,base,readingSupport|commonness,ADJ,intransitive,1,moe-revised-fallback,single-reading,absent,tier-2,weak-1-2,predicate,,,
word:不如:ㄅㄨ4-ㄖㄨ2,不如,ㄅㄨ4 ㄖㄨ2,base,readingSupport|cedict|commonness|grammarEvidence|predicate,VERB,open-clausal-complement|transitive,1,moe-concised,single-reading,absent,tier-2,moderate-3-9,predicate,,,
word:不但:ㄅㄨ4-ㄉㄢ4,不但,ㄅㄨ4 ㄉㄢ4,base,readingSupport|commonness|grammarEvidence,ADP,avalent,1,moe-concised,single-reading,absent,tier-1,moderate-3-9,non-predicate,,,
word:不見天日:ㄅㄨ4-ㄐㄧㄢ4-ㄊㄧㄢ1-ㄖ4,不見天日,ㄅㄨ4 ㄐㄧㄢ4 ㄊㄧㄢ1 ㄖ4,base,,ADJ,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:不懷好意:ㄅㄨ4-ㄏㄨㄞ2-ㄏㄠ3-ㄧ4,不懷好意,ㄅㄨ4 ㄏㄨㄞ2 ㄏㄠ3 ㄧ4,base,,VERB,intransitive,1,moe-concised,single-reading,absent,tier-4,weak-1-2,predicate,,,
word:中國:ㄓㄨㄥ1-ㄍㄨㄛ2,中國,ㄓㄨㄥ1 ㄍㄨㄛ2,base,readingSupport|commonness|grammarEvidence,PROPN,avalent,1,moe-revised-fallback,single-reading,absent,tier-1,strong-10-plus,non-predicate,,,
word:中超:ㄓㄨㄥ1-ㄔㄠ1,中超,ㄓㄨㄥ1 ㄔㄠ1,floor,cedict,PROPN,avalent,1,no-projection,single-reading,ambiguous-records,tier-4,weak-1-2,non-predicate,,,
